"east" "north" "x" "y" "elev" "d.river" "Cd" "Cu" "Pb" "Zn" "LOI" "Fldf" "Soil"
271674.07 5652772.04 1637 2651 8.06 10 8.2 47 191 812 11.1 1 1
271929.81 5652738.44 1894 2630 7.51 170 2.4 32 102 298 1.4 1 2
272145.61 5652727.88 2110 2630 6.98 340 3 32 97 321 1.6 1 2
272390.82 5652703.8 2356 2618 7.8 550 1.6 27 82 213 3.1 1 2
271789.41 5652714.28 1755 2599 7.94 100 4.2 51 281 746 5.1 1 2
271537.53 5652724.67 1503 2597 7.98 10 17 128 405 1548 12.3 1 1
271699.39 5652716.71 1665 2597 8.8 60 2.4 47 297 832 10 2 1
271405.59 5652689.07 1373 2555 7.9 10 12 117 654 1839 16.5 1 1
271256.86 5652658.3 1226 2517 7.74 10 9.4 104 482 1528 13.9 1 1
271530.43 5652640.88 1500 2513 6.68 70 10.9 90 541 1571 10.2 1 1
271990.04 5652598.29 1961 2493 8.18 320 1.2 21 48 167 1 2 0
271879.25 5652585.7 1851 2475 8.69 260 1.7 22 65 176 1 2 0
271115.23 5652609.15 1087 2461 7.55 20 8.2 76 276 933 8.1 1 1
271719.5 5652575.51 1692 2457 6.36 200 4.3 50 294 746 5.3 1 2
271276.15 5652582.23 1249 2442 8.54 70 1.2 30 244 703 8.3 2 1
271327.69 5652550.68 1302 2413 6.74 140 3.5 34 207 550 5.8 1 1
271531.92 5652528.63 1507 2401 9.52 190 0 31 96 262 5.9 2 1
271027.3 5652511.32 1004 2359 7.4 20 7.3 80 310 1190 12 1 1
271213.97 5652478.12 1192 2335 7.76 200 2.6 36 180 432 3.1 1 1
271831.23 5652443.85 1810 2331 9.28 360 1.3 21 62 258 2 1 2
271703.5 5652433.09 1683 2314 7.78 320 3.1 38 211 464 4.5 1 2
271060.18 5652405.56 1042 2255 8.77 70 0 25 94 253 8.1 2 1
271879.06 5652357.37 1862 2247 9.81 450 0 20 56 142 5 2 2
270943.35 5652392.26 926 2236 7.44 10 9.4 78 210 907 14.1 1 1
271589.14 5652347.55 1573 2223 9.52 410 1.2 23 80 210 5.8 2 2
271213.28 5652362 1197 2219 9.55 240 0 23 86 139 7.1 2 1
271695 5652280.25 1682 2161 8.18 480 1.7 26 135 365 0.9 1 2
271573.94 5652262.18 1562 2137 9.42 450 0 33 81 210 5.9 2 2
271888.93 5652231.69 1878 2122 9.6 550 0 16 49 119 4.5 2 2
270904.23 5652227.91 895 2070 7.36 10 8.3 77 158 761 14.5 1 1
271051.14 5652180.66 1044 2030 9.69 150 0 23 75 203 6.8 2 1
271435.32 5652151.78 1429 2020 9.57 530 0 22 72 198 4.9 2 2
271675.46 5652126.97 1670 2007 9.42 660 1.7 24 112 282 4.5 1 2
271752.06 5652116.23 1747 2000 9.73 650 0 17 50 152 5.4 2 2
271871.65 5652104.33 1867 1994 10.08 680 0 14 49 133 4.4 3 2
270891.52 5652091.35 889 1933 7.2 20 7 65 141 659 14.8 1 1
271598.85 5652014.58 1599 1891 8.86 690 2.1 32 162 375 5.5 1 2
270923.17 5652021.69 924 1865 8.46 70 0 21 84 232 6.6 2 1
271532.98 5651978.75 1535 1852 8.29 710 1.7 24 94 222 3.4 1 2
271716.23 5651957.73 1719 1840 9.52 760 0.8 18 57 176 5 3 2
270809.78 5651956.14 814 1794 7.22 10 6.8 66 144 643 13.3 1 1
271844.83 5651884.33 1851 1773 9.09 1000 0 18 50 117 5.3 2 3
271109.91 5651888.33 1117 1741 9.2 310 0 21 56 166 4.1 2 2
270951.17 5651878.1 959 1723 7.82 160 2.2 27 131 317 4.5 2 1
270838.23 5651882.64 846 1722 8.47 70 0 24 65 191 6 2 1
271551.87 5651812.58 1562 1687 9.09 750 0 23 51 136 4.3 2 2
270723.57 5651832.18 734 1666 7.36 20 7.4 72 181 801 15.2 1 1
271304.05 5651762.64 1317 1625 9.97 540 0.8 46 42 141 4.5 3 2
270860.41 5651763.37 874 1604 7.93 160 1.8 25 81 241 2.9 2 2
270639.63 5651734.14 655 1564 5.18 20 6.6 75 173 784 11.4 1 1
271114.28 5651691.83 1131 1545 9.63 390 0 24 48 128 7.1 2 3
271205.07 5651684.38 1222 1542 10.13 480 1 29 48 158 5.2 3 2
271447.05 5651615.42 1467 1485 9.87 760 0.4 23 48 143 6.6 2 3
270591.32 5651647.36 611 1475 5.7 80 6.3 63 159 765 12.8 1 1
271579.71 5651583.85 1601 1460 9.03 860 0.8 18 37 126 4.6 2 3
271706.5 5651575.62 1728 1458 9.71 860 0.4 20 39 113 4.1 2 3
271035.7 5651600.54 1057 1450 8.47 410 0 23 49 140 6.1 2 3
270847.65 5651584.73 870 1425 5.8 270 7.8 75 399 1060 9 1 1
271365.43 5651503.25 1391 1369 10.32 720 0.8 19 41 129 4.6 3 3
270448.11 5651484.13 476 1305 6.34 20 10.8 85 333 1161 9.6 1 1
271644.99 5651383.35 1676 1263 9.92 680 0 22 48 130 6.1 2 3
270509.6 5651431.06 540 1255 5.76 80 3.9 47 268 703 7 1 1
271060.04 5651382.01 1092 1233 7.64 560 0.7 22 45 119 3.6 1 1
270349.21 5651407.86 381 1224 6.28 70 9.4 88 462 1383 8.5 1 1
271141.38 5651366.01 1174 1221 8.84 630 0 30 67 221 5.7 2 3
271247.83 5651351.77 1281 1212 10.52 650 0.4 25 84 240 8.8 2 3
270387.67 5651354.92 422 1173 8.57 140 2.8 36 216 545 10.7 2 1
270493.3 5651343.73 528 1167 6.48 130 3.5 46 252 676 6.2 1 1
270430.2 5651343.81 465 1164 6.48 110 4.7 55 315 793 6.5 1 1
271475.29 5651231.45 1514 1103 9.4 500 0 27 64 192 7.5 2 3
